"location_id","date_utc","hour_utc","date_local","hour_local","consumption","baseline","erasing","status","extra"
"3209","2022-01-03T00:00:00Z","18","2022-01-03T00:00:00Z","13","5.7526965","5.7260985","-0.026597977","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T19:00:31.1528860Z""}}"
"5721","2022-01-03T00:00:00Z","17","2022-01-03T00:00:00Z","12","2.1802583","1.7676986","-0.41255963","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T19:00:37.9350363Z""}}"
"5721","2022-01-03T00:00:00Z","18","2022-01-03T00:00:00Z","13","1.77445","2.322827","0.54837716","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T19:00:37.9697442Z""}}"
"3209","2022-01-03T00:00:00Z","22","2022-01-03T00:00:00Z","17","5.7054","5.824477","0.119077206","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T23:00:36.7189773Z""}}"
"5721","2022-01-03T00:00:00Z","15","2022-01-03T00:00:00Z","10","2.370558","2.3849096","0.014351606","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T16:00:25.9095434Z""}}"
"3209","2022-01-03T00:00:00Z","15","2022-01-03T00:00:00Z","10","5.4782434","3.747488","-1.7307553","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T16:00:27.4666044Z""}}"
"5721","2022-01-03T00:00:00Z","22","2022-01-03T00:00:00Z","17","2.2058263","1.4543788","-0.75144744","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T23:00:56.0178329Z""}}"
"5721","2022-01-03T00:00:00Z","16","2022-01-03T00:00:00Z","11","3.3021235","1.953488","-1.3486356","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T17:00:29.3683671Z""}}"
"3209","2022-01-03T00:00:00Z","16","2022-01-03T00:00:00Z","11","5.8345966","3.7090764","-2.1255202","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T17:00:29.2524650Z""}}"
"5721","2022-01-03T00:00:00Z","13","2022-01-03T00:00:00Z","8","1.45602","2.7396135","1.2835935","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T14:00:17.7408317Z""}}"
"3209","2022-01-03T00:00:00Z","13","2022-01-03T00:00:00Z","8","1.8442466","3.8684351","2.0241885","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T14:00:24.5931909Z""}}"
"5721","2022-01-03T00:00:00Z","12","2022-01-03T00:00:00Z","7","1.65161","2.956028","1.304418","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T13:00:13.8151649Z""}}"
"3209","2022-01-03T00:00:00Z","19","2022-01-03T00:00:00Z","14","5.94143","5.7701564","-0.17127371","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T20:00:31.4052870Z""}}"
"3209","2022-01-03T00:00:00Z","12","2022-01-03T00:00:00Z","7","1.4749533","3.8689246","2.3939714","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T13:00:23.6797490Z""}}"
"5721","2022-01-03T00:00:00Z","10","2022-01-03T00:00:00Z","5","4.31001","2.0363445","-2.2736654","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T11:00:03.6978947Z""}}"
"3209","2022-01-03T00:00:00Z","10","2022-01-03T00:00:00Z","5","5.8408766","3.7621808","-2.0786958","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T11:00:20.7159322Z""}}"
